Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
k44_M05964-contigs	134	36	31	25	19	9	1856487	1843001	1828185	1778633	1686546	1298668	41	473423	1846118	1969659	37.95	38.31	97979	97979	44883	40839	5	5	11	13	38	16	1453233	52	2 + 6 part	75588	80.557	1.116	8.29	2471.35	64.66	132027	38702	34192	14907	10547	12	14	31	37
k44_M07572-contigs	261	72	47	36	26	13	2018561	1993863	1920860	1849422	1676512	1254806	74	217183	1995099	1969659	38.36	38.31	80448	80448	33152	33430	9	9	20	19	33	18	1187855	59	20 + 15 part	193473	81.217	1.126	8.32	2335.19	56.89	123383	33411	34042	8540	10113	18	17	43	41
k44_M10540-contigs	69	29	27	24	16	9	1846668	1841807	1837035	1816581	1703942	1445343	30	334836	1842389	1969659	38.10	38.31	157960	154878	63553	49096	4	5	8	10	50	11	1077196	38	3 + 10 part	406276	53.465	1.364	0.05	3461.11	78.53	45472	6729	5581	-	-	54	64	-	-
k44_M16180-contigs	141	49	39	30	22	12	1875236	1860135	1838044	1771774	1624648	1313950	56	369249	1864193	1969659	38.08	38.31	82364	82364	33896	31585	7	7	15	17	40	18	1336486	54	3 + 12 part	56216	82.456	1.113	1.45	2458.47	64.65	124307	33381	32065	15136	11147	16	18	36	42
k77_M05964-contigs	84	36	27	23	18	9	1861765	1852825	1832670	1800812	1727524	1393482	38	343779	1854153	1969659	37.95	38.31	144973	122974	60895	46134	4	5	9	11	45	16	1596414	53	2 + 7 part	34428	80.434	1.149	1.19	2476.16	67.16	178313	36942	34883	16550	13522	11	13	29	35
k77_M07572-contigs	126	51	34	29	20	13	2033998	2015592	1957892	1923302	1769021	1533445	59	312213	2022140	1969659	38.40	38.31	103159	103159	52032	63910	6	6	13	12	44	17	1644834	60	13 + 16 part	174480	81.375	1.153	0.49	2355.42	62.08	157773	34006	34868	13299	13685	16	15	39	37
k77_M10540-contigs	38	21	20	18	13	9	1843463	1840271	1836531	1825488	1765750	1618312	22	400731	1840807	1969659	38.10	38.31	285281	205735	83976	58778	3	4	6	7	57	9	1116152	39	2 + 7 part	419050	52.537	1.374	0.00	3453.82	79.05	51034	6313	4392	-	-	54	65	-	-
k77_M16180-contigs	69	33	31	25	21	13	1877718	1870234	1865087	1825390	1755503	1496920	37	369262	1872401	1969659	38.09	38.31	100164	93358	52751	52076	5	6	12	13	44	14	1454405	63	2 + 5 part	37723	83.288	1.118	0.80	2482.87	69.43	138470	35073	34774	19207	15162	14	15	31	36
k127_M05964-contigs	41	35	21	18	16	10	1943458	1941913	1912787	1890847	1863980	1632852	35	550439	1941913	1969659	38.00	38.31	183050	183050	75809	75809	3	3	8	8	54	16	1757633	57	2 + 3 part	21840	82.401	1.183	0.00	2507.24	71.29	178366	42872	42872	18748	16455	11	11	28	30
k127_M07572-contigs	55	43	35	23	17	12	2047751	2044301	2021558	1931796	1826189	1659461	43	312376	2044301	1969659	38.44	38.31	141208	141208	77394	77394	5	5	10	10	42	15	1739273	63	6 + 13 part	181435	81.769	1.157	0.00	2290.12	60.79	157773	34948	36850	13299	14907	14	13	37	33
k127_M10540-contigs	19	15	14	12	10	7	1839699	1838715	1836960	1826417	1801233	1701763	16	409689	1839251	1969659	38.07	38.31	333934	333934	191716	191716	3	3	5	5	40	6	785406	32	2 + 4 part	566779	52.408	1.233	0.00	3449.92	78.76	51084	6104	3633	-	-	57	70	-	-
k127_M16180-contigs	36	26	22	17	15	13	1890630	1887625	1877331	1843900	1812508	1755696	27	401071	1888140	1969659	38.18	38.31	138055	138055	96606	96606	5	5	9	9	49	13	1723743	65	3 + 4 part	33299	84.112	1.120	0.00	2486.24	71.59	156231	37510	36801	20222	16333	13	14	28	32
k99_M05964-contigs	61	36	23	19	15	8	1868767	1863738	1836604	1805426	1751712	1485927	37	550431	1864279	1969659	38.00	38.31	182978	182978	79438	66805	3	3	7	8	48	15	1638314	56	2 + 7 part	35256	82.305	1.128	0.00	2513.06	70.69	178366	58566	40672	18748	14399	10	11	26	31
k99_M07572-contigs	72	42	36	25	18	11	2042415	2032406	2013233	1934655	1808181	1564002	46	312355	2035777	1969659	38.44	38.31	141152	141152	53598	67130	5	5	11	10	44	18	1785735	61	7 + 12 part	151189	81.689	1.171	0.00	2304.78	60.85	157773	34879	34948	13649	14907	15	14	37	34
k99_M10540-contigs	23	17	15	13	11	7	1834414	1832278	1826810	1816267	1794781	1649111	19	400825	1833634	1969659	38.04	38.31	311520	311520	189976	189976	3	3	5	5	60	6	1257756	42	3 + 5 part	310903	52.481	1.473	0.05	3455.43	78.55	51055	6313	4147	-	-	52	64	-	-
k99_M16180-contigs	42	28	26	20	18	14	1893788	1889956	1884609	1845458	1810534	1681577	30	401071	1891040	1969659	38.18	38.31	125281	125281	73822	71139	5	5	10	11	49	15	1678907	66	4 + 5 part	39454	84.146	1.117	0.05	2487.58	71.98	156231	36801	35994	20023	16305	13	14	29	32
