Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
meta.M29697	13	11	9	8	8	8	1857529	1855975	1850869	1845335	1845335	1845335	13	526399	1857529	38.09	456784	140926	2	4	0.00
spades.M29697	152	11	9	8	8	8	1919283	1855975	1850869	1845335	1845335	1845335	46	526399	1877014	38.10	456784	140926	2	4	0.00
velvet.M29697	28	12	10	9	9	8	1864083	1856361	1853220	1847686	1847686	1822116	18	526500	1860102	38.06	457336	141025	2	4	68.22
abyss.115.M29697	28	21	19	16	15	11	1904426	1902562	1899508	1881305	1866343	1733251	22	535169	1903246	38.26	144250	116318	3	7	4.68
