All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly             # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  NA50   NGA50  NA75   NGA75  LA50  LGA50  LA75  LGA75
k44_M05964-contigs   134                  36                      31                      25                       19                       9                        1856487                 1843001                    1828185                    1778633                     1686546                     1298668                     41         473423          1846118       1811802           37.95   38.07             97979   97979   44883   44883   5    5     11   11    32               17                      1520796                      65                     5 + 1 part           69562             87.807               1.117              8.29               2566.67                   66.25                 148362             30512  32756  13095  13678  12    11     34    32   
k44_M07572-contigs   261                  72                      47                      36                       26                       13                       2018561                 1993863                    1920860                    1849422                     1676512                     1254806                     74         217183          1995099       1811802           38.36   38.07             80448   84558   33152   38074   9    8     20   16    37               18                      1315757                      61                     27 + 12 part         232505            86.779               1.121              8.32               2672.84                   64.37                 199130             27653  30826  6084   14058  17    14     51    35   
k44_M10540-contigs   69                   29                      27                      24                       16                       9                        1846668                 1841807                    1837035                    1816581                     1703942                     1445343                     30         334836          1842389       1811802           38.10   38.07             157960  157960  63553   63553   4    4     8    8     61               18                      1360271                      26                     2 + 8 part           258531            59.899               1.459              0.05               3636.33                   93.07                 45869              6988   7390   -      -      49    46     -     -    
k44_M16180-contigs   141                  49                      39                      30                       22                       12                       1875236                 1860135                    1838044                    1771774                     1624648                     1313950                     56         369249          1864193       1811802           38.08   38.07             82364   85597   33896   36285   7    6     15   14    36               17                      1419762                      53                     12 + 12 part         140958            84.917               1.120              1.45               2513.32                   66.56                 199563             29514  37459  8698   10366  15    14     42    38   
k77_M05964-contigs   84                   36                      27                      23                       18                       9                        1861765                 1852825                    1832670                    1800812                     1727524                     1393482                     38         343779          1854153       1811802           37.95   38.07             144973  144973  60895   60895   4    4     9    9     42               20                      1726012                      63                     5 + 0 part           22076             87.909               1.150              1.19               2561.58                   66.68                 133923             29042  32789  12938  14257  12    11     35    32   
k77_M07572-contigs   126                  51                      34                      29                       20                       13                       2033998                 2015592                    1957892                    1923302                     1769021                     1533445                     59         312213          2022140       1811802           38.40   38.07             103159  130205  52032   67108   6    5     13   11    42               15                      1590252                      68                     24 + 8 part          200245            87.240               1.153              0.49               2669.08                   67.51                 226547             28091  35479  8004   15896  16    13     45    32   
k77_M10540-contigs   38                   21                      20                      18                       13                       9                        1843463                 1840271                    1836531                    1825488                     1765750                     1618312                     22         400731          1840807       1811802           38.10   38.07             285281  285281  83976   191715  3    3     6    5     64               14                      1368835                      29                     1 + 6 part           265497            61.856               1.406              0.00               3658.95                   97.80                 54089              9960   10424  -      -      42    41     -     -    
k77_M16180-contigs   69                   33                      31                      25                       21                       13                       1877718                 1870234                    1865087                    1825390                     1755503                     1496920                     37         369262          1872401       1811802           38.09   38.07             100164  100164  52751   57916   5    5     12   11    40               16                      1517276                      62                     7 + 7 part           117624            84.740               1.143              0.80               2518.16                   64.87                 199576             37620  37620  12702  13920  14    14     37    34   
k127_M05964-contigs  41                   35                      21                      18                       16                       10                       1943458                 1941913                    1912787                    1890847                     1863980                     1632852                     35         550439          1941913       1811802           38.00   38.07             183050  183050  75809   81560   3    3     8    7     44               17                      1780129                      66                     3 + 0 part           12276             89.454               1.191              0.00               2587.98                   71.02                 148362             49030  51623  16720  19153  11    10     30    25   
k127_M07572-contigs  55                   43                      35                      23                       17                       12                       2047751                 2044301                    2021558                    1931796                     1826189                     1659461                     43         312376          2044301       1811802           38.44   38.07             141208  166144  77394   93346   5    4     10   8     44               15                      1769765                      68                     16 + 4 part          177184            87.527               1.177              0.00               2660.35                   67.85                 226563             28434  38532  8004   16241  15    11     44    29   
