All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                    spades.M05964  spades.M07572  spades.M10540  spades.M16180  spades.M26026  spades.M26032  spades.M27986  spades.M27987  spades.M28356  spades.M28405  spades.M28687  spades.M28702  spades.M28745  spades.M28770  spades.M28801  spades.M28853  spades.M28888  spades.M29179  spades.M29197  spades.M29202  spades.M29227  spades.M29307  spades.M29323  spades.M29331  spades.M29400  spades.M29658  spades.M29684  spades.M29695  spades.M29697  spades.M36557  spades.M36564  spades.M36580  spades.M36582  spades.M36605  spades.M36606  spades.M37982  velvet.M05964  velvet.M07572  velvet.M10540  velvet.M16180  velvet.M26026  velvet.M26032  velvet.M27986  velvet.M27987  velvet.M28356  velvet.M28405  velvet.M28687  velvet.M28702  velvet.M28745  velvet.M28770  velvet.M28801  velvet.M28853  velvet.M28888  velvet.M29179  velvet.M29197  velvet.M29202  velvet.M29227  velvet.M29307  velvet.M29323  velvet.M29331  velvet.M29400  velvet.M29658  velvet.M29684  velvet.M29695  velvet.M29697  velvet.M36557  velvet.M36564  velvet.M36580  velvet.M36582  velvet.M36605  velvet.M36606  velvet.M37982
# contigs (>= 0 bp)         754            752            878            987            303            121            152            254            236            205            262            260            189            218            131            136            147            215            711            971            1145           211            46             145            115            107            144            222            152            258            490            1401           754            245            993            78             35             55             16             35             24             22             31             33             24             35             28             32             28             33             23             48             51             41             29             22             32             53             20             26             36             29             25             36             28             28             18             29             29             34             29             28           
# contigs (>= 1000 bp)      35             56             50             143            16             11             26             28             12             22             19             24             20             21             16             28             30             18             211            214            222            31             9              21             21             16             18             18             11             14             18             74             35             21             586            15             12             39             12             15             15             11             24             26             11             23             15             22             18             22             13             26             29             17             20             19             13             25             10             17             14             19             16             12             12             17             13             12             16             21             15             16           
# contigs (>= 5000 bp)      14             24             8              15             11             9              15             15             9              14             12             17             13             14             11             21             23             10             36             32             32             23             6              13             14             13             11             13             9              11             12             10             9              16             112            11             11             23             9              9              10             8              13             14             9              13             8              16             10             14             10             23             24             11             12             13             8              20             7              11             11             14             10             11             10             11             10             8              9              15             9              12           
# contigs (>= 10000 bp)     12             19             8              11             10             8              14             14             9              14             9              16             12             13             11             18             20             10             22             26             22             23             6              12             12             13             10             12             8              10             12             10             9              16             27             11             10             19             8              9              10             8              12             13             8              13             8              15             10             13             8              20             21             11             11             12             8              20             7              11             11             13             9              11             9              11             10             8              9              15             9              9            
# contigs (>= 25000 bp)     12             16             7              11             9              8              13             12             7              12             9              15             11             11             9              16             17             8              14             17             12             15             6              12             10             11             9              10             8              8              9              8              9              15             8              9              10             15             7              9              10             8              12             13             6              11             8              13             8              12             8              18             18             8              10             11             8              13             7              10             10             11             9              11             9              8              7              8              9              14             9              8            
# contigs (>= 50000 bp)     10             13             4              9              7              7              7              7              6              9              8              13             9              9              8              12             14             7              11             13             11             8              5              9              9              9              8              9              8              7              5              7              8              12             7              8              7              12             4              8              7              7              8              9              5              9              7              12             7              10             7              13             14             7              8              8              7              7              6              8              8              9              8              9              8              7              4              7              8              11             7              7            
Total length (>= 0 bp)      2187406        2308870        2286936        2509733        1907664        1927004        1879712        1924081        2003330        1945192        1928136        1976715        1861384        1901810        1980817        1966235        2014691        1860311        2403795        2593209        2647433        1913257        1923996        1876395        1931378        1897227        1870629        1930979        1919283        1880629        1999701        2590113        2155397        2020166        3974567        1902806        1833721        1970707        1812002        1860622        1780643        1886802        1827946        1829391        1910845        1868118        1823475        1883052        1795361        1823392        1935542        1931545        1978010        1785774        1814173        1902721        1842606        1848545        1911542        1824757        1903898        1863406        1822121        1848725        1864083        1779626        1778991        1841899        1782857        1926422        1780546        1881043      
Total length (>= 1000 bp)   1838370        1967907        1857076        2065109        1776276        1880481        1824103        1825093        1901993        1861861        1818718        1871963        1788667        1813324        1929363        1918849        1963662        1776127        2149366        2212722        2177445        1833593        1908166        1819564        1892026        1857655        1819489        1837051        1855975        1771180        1777529        1905649        1796097        1917403        3753048        1873316        1821707        1960626        1809774        1852144        1774951        1880859        1824353        1825908        1903458        1862690        1817521        1878083        1790754        1817954        1929572        1919670        1967282        1773285        1809243        1900899        1832459        1834992        1906484        1819921        1891630        1858724        1817999        1836501        1856361        1774051        1775570        1832782        1776464        1918954        1773388        1875010      
Total length (>= 5000 bp)   1808934        1912434        1803001        1852013        1765825        1875373        1799604        1797812        1897808        1841752        1802216        1854811        1769488        1794234        1921773        1905892        1953491        1755504        1818594        1889931        1830120        1817662        1903297        1796061        1878972        1851471        1805613        1827465        1850869        1765043        1768003        1816411        1756175        1902887        2600325        1866937        1819294        1925969        1803517        1841557        1766017        1876964        1799393        1799923        1900819        1842697        1801945        1863729        1772228        1798827        1924547        1914903        1960940        1757422        1790522        1888908        1819236        1826961        1902432        1805859        1885733        1851864        1807279        1833727        1853220        1763278        1769709        1820646        1762708        1904377        1759114        1869149      
Total length (>= 10000 bp)  1794072        1876531        1803001        1828190        1760342        1868695        1789748        1787956        1897808        1841752        1782054        1849705        1761011        1784293        1921773        1882667        1933318        1755504        1722025        1852200        1769676        1817662        1903297        1789569        1865881        1851471        1800526        1819516        1845335        1759488        1768003        1816411        1756175        1902887        2016161        1866937        1813247        1900883        1794659        1841557        1766017        1876964        1789659        1790114        1895633        1842697        1801945        1854976        1772228        1789898        1912716        1891754        1940590        1757422        1781518        1883405        1819236        1826961        1902432        1805859        1885733        1842735        1802192        1833727        1847686        1763278        1769709        1820646        1762708        1904377        1759114        1850921      
