All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly             # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  NA50    NGA50   NA75    NGA75   LA50  LGA50  LA75  LGA75
k44_M05964-contigs   134                  36                      31                      25                       19                       9                        1856487                 1843001                    1828185                    1778633                     1686546                     1298668                     41         473423          1846118       1856176           37.95   38.05             97979   97979   44883   44883   5    5     11   11    59               15                      1272067                      33                     11 + 8 part          370233            58.431               1.361              8.29               3664.25                   88.88                 54188              7557    7353    -       -       50    51     -     -    
k44_M07572-contigs   261                  72                      47                      36                       26                       13                       2018561                 1993863                    1920860                    1849422                     1676512                     1254806                     74         217183          1995099       1856176           38.36   38.05             80448   80448   33152   37295   9    9     20   17    46               16                      1174536                      37                     32 + 18 part         537075            60.123               1.306              8.32               3592.66                   85.13                 57853              6605    8628    -       -       55    46     -     -    
k44_M10540-contigs   69                   29                      27                      24                       16                       9                        1846668                 1841807                    1837035                    1816581                     1703942                     1445343                     30         334836          1842389       1856176           38.10   38.05             157960  157960  63553   63553   4    4     8    8     7                5                       836399                       4                      0 + 0 part           0                 98.333               1.009              0.05               32.16                     2.74                  228094             123728  123728  52654   52654   6     6      11    11   
k44_M16180-contigs   141                  49                      39                      30                       22                       12                       1875236                 1860135                    1838044                    1771774                     1624648                     1313950                     56         369249          1864193       1856176           38.08   38.05             82364   82364   33896   33896   7    7     15   15    38               10                      928465                       24                     20 + 20 part         545986            53.554               1.326              1.45               3663.39                   90.24                 48478              4537    4537    -       -       64    64     -     -    
k77_M05964-contigs   84                   36                      27                      23                       18                       9                        1861765                 1852825                    1832670                    1800812                     1727524                     1393482                     38         343779          1854153       1856176           37.95   38.05             144973  144973  60895   60895   4    4     9    9     72               15                      1314261                      32                     9 + 6 part           335640            58.015               1.410              1.19               3595.85                   86.73                 54188              7353    7176    -       -       51    52     -     -    
k77_M07572-contigs   126                  51                      34                      29                       20                       13                       2033998                 2015592                    1957892                    1923302                     1769021                     1533445                     59         312213          2022140       1856176           38.40   38.05             103159  103159  52032   67108   6    6     13   11    53               12                      1204136                      39                     26 + 15 part         555785            60.017               1.316              0.49               3580.88                   84.92                 57853              6315    8666    -       -       55    44     -     -    
k77_M10540-contigs   38                   21                      20                      18                       13                       9                        1843463                 1840271                    1836531                    1825488                     1765750                     1618312                     22         400731          1840807       1856176           38.10   38.05             285281  285281  83976   83976   3    3     6    6     8                5                       1063349                      4                      0 + 0 part           0                 98.395               1.008              0.00               32.14                     3.56                  228096             160610  160610  83976   58318   5     5      9     10   
k77_M16180-contigs   69                   33                      31                      25                       21                       13                       1877718                 1870234                    1865087                    1825390                     1755503                     1496920                     37         369262          1872401       1856176           38.09   38.05             100164  100164  52751   52751   5    5     12   12    45               12                      1181932                      29                     9 + 13 part          425094            55.055               1.416              0.80               3702.72                   91.30                 48478              5463    5792    -       -       59    57     -     -    
k127_M05964-contigs  41                   35                      21                      18                       16                       10                       1943458                 1941913                    1912787                    1890847                     1863980                     1632852                     35         550439          1941913       1856176           38.00   38.05             183050  183050  75809   81560   3    3     8    7     75               12                      1388547                      38                     6 + 8 part           344900            59.294               1.451              0.00               3606.58                   87.13                 54188              7557    8252    -       -       53    48     -     -    
k127_M07572-contigs  55                   43                      35                      23                       17                       12                       2047751                 2044301                    2021558                    1931796                     1826189                     1659461                     43         312376          2044301       1856176           38.44   38.05             141208  141208  77394   81370   5    5     10   9     61               11                      1403162                      41                     18 + 9 part          467945            60.232               1.410              0.00               3576.19                   85.78                 57853              6315    9018    -       -       53    41     -     -    
k127_M10540-contigs  19                   15                      14                      12                       10                       7                        1839699                 1838715                    1836960                    1826417                     1801233                     1701763                     16         409689          1839251       1856176           38.07   38.05             333934  333934  191716  191716  3    3     5    5     8                4                       1174812                      6                      0 + 0 part           0                 98.032               1.011              0.00               33.80                     3.52                  228096             170342  170342  109825  109825  5     5      8     8    
k127_M16180-contigs  36                   26                      22                      17                       15                       13                       1890630                 1887625                    1877331                    1843900                     1812508                     1755696                     27         401071          1888140       1856176           38.18   38.05             138055  138055  96606   116061  5    5     9    8     43               7                       1032048                      29                     5 + 9 part           506615            54.384               1.369              0.00               3673.94                   92.72                 48478              4166    4678    -       -       64    60     -     -    
