All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     k44_M05964-contigs  k44_M07572-contigs  k44_M10540-contigs  k44_M16180-contigs  k77_M05964-contigs  k77_M07572-contigs  k77_M10540-contigs  k77_M16180-contigs  k127_M05964-contigs  k127_M07572-contigs  k127_M10540-contigs  k127_M16180-contigs  k99_M05964-contigs  k99_M07572-contigs  k99_M10540-contigs  k99_M16180-contigs
# contigs (>= 0 bp)          134                 261                 69                  141                 84                  126                 38                  69                  41                   55                   19                   36                   61                  72                  23                  42                
# contigs (>= 1000 bp)       36                  72                  29                  49                  36                  51                  21                  33                  35                   43                   15                   26                   36                  42                  17                  28                
# contigs (>= 5000 bp)       31                  47                  27                  39                  27                  34                  20                  31                  21                   35                   14                   22                   23                  36                  15                  26                
# contigs (>= 10000 bp)      25                  36                  24                  30                  23                  29                  18                  25                  18                   23                   12                   17                   19                  25                  13                  20                
# contigs (>= 25000 bp)      19                  26                  16                  22                  18                  20                  13                  21                  16                   17                   10                   15                   15                  18                  11                  18                
# contigs (>= 50000 bp)      9                   13                  9                   12                  9                   13                  9                   13                  10                   12                   7                    13                   8                   11                  7                   14                
Total length (>= 0 bp)       1856487             2018561             1846668             1875236             1861765             2033998             1843463             1877718             1943458              2047751              1839699              1890630              1868767             2042415             1834414             1893788           
Total length (>= 1000 bp)    1843001             1993863             1841807             1860135             1852825             2015592             1840271             1870234             1941913              2044301              1838715              1887625              1863738             2032406             1832278             1889956           
Total length (>= 5000 bp)    1828185             1920860             1837035             1838044             1832670             1957892             1836531             1865087             1912787              2021558              1836960              1877331              1836604             2013233             1826810             1884609           
Total length (>= 10000 bp)   1778633             1849422             1816581             1771774             1800812             1923302             1825488             1825390             1890847              1931796              1826417              1843900              1805426             1934655             1816267             1845458           
Total length (>= 25000 bp)   1686546             1676512             1703942             1624648             1727524             1769021             1765750             1755503             1863980              1826189              1801233              1812508              1751712             1808181             1794781             1810534           
Total length (>= 50000 bp)   1298668             1254806             1445343             1313950             1393482             1533445             1618312             1496920             1632852              1659461              1701763              1755696              1485927             1564002             1649111             1681577           
# contigs                    41                  74                  30                  56                  38                  59                  22                  37                  35                   43                   16                   27                   37                  46                  19                  30                
Largest contig               473423              217183              334836              369249              343779              312213              400731              369262              550439               312376               409689               401071               550431              312355              400825              401071            
Total length                 1846118             1995099             1842389             1864193             1854153             2022140             1840807             1872401             1941913              2044301              1839251              1888140              1864279             2035777             1833634             1891040           
Reference length             1887620             1887620             1887620             1887620             1887620             1887620             1887620             1887620             1887620              1887620              1887620              1887620              1887620             1887620             1887620             1887620           
GC (%)                       37.95               38.36               38.10               38.08               37.95               38.40               38.10               38.09               38.00                38.44                38.07                38.18                38.00               38.44               38.04               38.18             
Reference GC (%)             38.23               38.23               38.23               38.23               38.23               38.23               38.23               38.23               38.23                38.23                38.23                38.23                38.23               38.23               38.23               38.23             
N50                          97979               80448               157960              82364               144973              103159              285281              100164              183050               141208               333934               138055               182978              141152              311520              125281            
NG50                         97979               80448               157960              82364               122974              103159              285281              93358               183050               141208               333934               138055               182978              141152              311520              125281            
N75                          44883               33152               63553               33896               60895               52032               83976               52751               75809                77394                191716               96606                79438               53598               189976              73822             
NG75                         44231               35070               52654               33896               49193               67108               83976               52751               81560                81370                191716               96606                79438               81353               189976              73822             
L50                          5                   9                   4                   7                   4                   6                   3                   5                   3                    5                    3                    5                    3                   5                   3                   5                 
LG50                         5                   9                   4                   7                   5                   6                   3                   6                   3                    5                    3                    5                    3                   5                   3                   5                 
L75                          11                  20                  8                   15                  9                   13                  6                   12                  8                    10                   5                    9                    7                   11                  5                   10                
LG75                         12                  18                  9                   15                  10                  11                  6                   12                  7                    9                    5                    9                    7                   9                   5                   10                
# misassemblies              29                  9                   51                  20                  33                  19                  57                  23                  40                   19                   50                   23                   32                  20                  69                  23                
# misassembled contigs       13                  9                   11                  15                  13                  14                  10                  11                  13                   10                   7                    9                    10                  11                  8                   10                
