All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly             # contigs (>= 0 bp)  # contigs (>= 1000 bp)  # contigs (>= 5000 bp)  # contigs (>= 10000 bp)  # contigs (>= 25000 bp)  # contigs (>= 50000 bp)  Total length (>= 0 bp)  Total length (>= 1000 bp)  Total length (>= 5000 bp)  Total length (>= 10000 bp)  Total length (>= 25000 bp)  Total length (>= 50000 bp)  # contigs  Largest contig  Total length  Reference length  GC (%)  Reference GC (%)  N50     NG50    N75     NG75    L50  LG50  L75  LG75  # misassemblies  # misassembled contigs  Misassembled contigs length  # local misassemblies  # unaligned contigs  Unaligned length  Genome fraction (%)  Duplication ratio  # N's per 100 kbp  # mismatches per 100 kbp  # indels per 100 kbp  Largest alignment  NA50    NGA50   NA75   NGA75  LA50  LGA50  LA75  LGA75
k44_M05964-contigs   134                  36                      31                      25                       19                       9                        1856487                 1843001                    1828185                    1778633                     1686546                     1298668                     41         473423          1846118       1813033           37.95   38.04             97979   97979   44883   44883   5    5     11   11    6                5                       802499                       36                     3 + 4 part           61359             94.824               1.038              8.29               1301.43                   60.03                 427914             74224   97979   39961  39961  6     5      14    14   
k44_M07572-contigs   261                  72                      47                      36                       26                       13                       2018561                 1993863                    1920860                    1849422                     1676512                     1254806                     74         217183          1995099       1813033           38.36   38.04             80448   84558   33152   38074   9    8     20   16    27               17                      1206630                      50                     29 + 12 part         236162            88.648               1.094              8.32               2465.51                   84.87                 113400             33470   35233   11142  18784  19    16     43    34   
k44_M10540-contigs   69                   29                      27                      24                       16                       9                        1846668                 1841807                    1837035                    1816581                     1703942                     1445343                     30         334836          1842389       1813033           38.10   38.04             157960  157960  63553   63553   4    4     8    8     49               12                      974478                       23                     4 + 8 part           447610            55.967               1.375              0.05               3631.83                   114.91                52580              6313    6604    -      -      56    54     -     -    
k44_M16180-contigs   141                  49                      39                      30                       22                       12                       1875236                 1860135                    1838044                    1771774                     1624648                     1313950                     56         369249          1864193       1813033           38.08   38.04             82364   82364   33896   36285   7    7     15   14    25               11                      1080401                      55                     14 + 7 part          117857            89.311               1.078              1.45               2496.90                   91.59                 119011             38993   38993   16610  19035  14    14     33    31   
k77_M05964-contigs   84                   36                      27                      23                       18                       9                        1861765                 1852825                    1832670                    1800812                     1727524                     1393482                     38         343779          1854153       1813033           37.95   38.04             144973  144973  60895   60895   4    4     9    9     12               11                      1222644                      40                     2 + 3 part           9007              94.727               1.074              1.19               1305.21                   59.33                 329581             98409   98409   40653  40653  6     6      13    13   
k77_M07572-contigs   126                  51                      34                      29                       20                       13                       2033998                 2015592                    1957892                    1923302                     1769021                     1533445                     59         312213          2022140       1813033           38.40   38.04             103159  130205  52032   67108   6    5     13   11    34               17                      1603582                      52                     24 + 8 part          199522            89.067               1.129              0.49               2462.96                   87.19                 113381             35233   38868   12836  19189  17    14     40    31   
k77_M10540-contigs   38                   21                      20                      18                       13                       9                        1843463                 1840271                    1836531                    1825488                     1765750                     1618312                     22         400731          1840807       1813033           38.10   38.04             285281  285281  83976   191715  3    3     6    5     60               11                      1207166                      28                     2 + 6 part           333990            57.300               1.450              0.00               3672.67                   116.57                52580              6980    7559    -      -      52    50     -     -    
k77_M16180-contigs   69                   33                      31                      25                       21                       13                       1877718                 1870234                    1865087                    1825390                     1755503                     1496920                     37         369262          1872401       1813033           38.09   38.04             100164  100164  52751   57916   5    5     12   11    29               14                      1356967                      60                     6 + 5 part           94710             89.445               1.096              0.80               2499.21                   92.19                 151223             44375   44375   16610  18809  12    12     29    27   
k127_M05964-contigs  41                   35                      21                      18                       16                       10                       1943458                 1941913                    1912787                    1890847                     1863980                     1632852                     35         550439          1941913       1813033           38.00   38.04             183050  183050  75809   81560   3    3     8    7     15               11                      1358015                      41                     2 + 3 part           11425             95.355               1.117              0.00               1303.37                   61.08                 427942             100032  100032  41727  50104  5     5      13    11   
k127_M07572-contigs  55                   43                      35                      23                       17                       12                       2047751                 2044301                    2021558                    1931796                     1826189                     1659461                     43         312376          2044301       1813033           38.44   38.04             141208  166144  77394   93346   5    4     10   8     32               14                      1584320                      54                     13 + 7 part          176482            89.165               1.155              0.00               2448.10                   85.18                 113381             41216   46032   11217  25482  16    14     37    27   
